COUNAME,Country,cigarettes,Life,PM,Diadetes,Water
TUR,Turkey,0.64,75.17595122,97.63689659,14.84,99.2
TKM,Turkmenistan,0.01,65.45656098,100,5.01,Nodata
UGA,Uganda,1.28,57.76768293,99.45074872,5.19,74.2
UKR,Ukraine,0.57,71.1595122,97.76054444,2.58,97.1
ARE,United Arab Emirates,0.03,77.19563415,99.82835733,19.02,100
GBR,United Kingdom,0.07,80.95609756,68.00463035,3.9,100
TZA,Tanzania,0.75,64.29182927,29.46354368,9.15,45.5
USA,United States,0.78,78.84146341,50.21139999,9.39,98.2
URY,Uruguay,0.4,76.83619512,0.01,5.76,91.6
UZB,Uzbekistan,0.05,68.22758537,99.96980459,6.43,Nodata
VUT,Vanuatu,0.39,71.6692439,0.900936989,23.71,89.9
VEN,"Venezuela, RB",0.84,74.07441463,77.88443942,6.86,77.9
VNM,Vietnam,0.01,75.7564878,96.86483591,5.71,93.6
SAH,Sub-Saharan Africa (all income levels),0.01,58.0773024,82.1616667,6.274119967,54.09816149
YEM,"Yemen, Rep.",0.11,63.5835122,100,8.25,Nodata
ZMB,Zambia,0.09,59.23736585,71.74383144,5.04,49.1
ZWE,Zimbabwe,0.01,55.633,27.1973398,9.34,67.6
